Unnamed: 0,id,data,ad_page,ad_order,Title,Price,Date,Time,phone,room,loc,message,url,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Код:
29,6022351,"850 сая ₮
Уб сувилалын зүүн урд, 115-р сургуулийн хойд талд 7 өрөө дуплекс
5 өдрийн өмнө
УБ — Хан-Уул, Цэлмэг хотхон",63.0,30.0,,,,,,,,,,,,,,,,,,,,,,
28,6022359,"435 сая ₮
Энхтайваны гүүрний зүүн урд, кн апартмент 3 өрөө байр
5 өдрийн өмнө
УБ — Хан-Уул, Хурд",63.0,29.0,,,,,,,,,,,,,,,,,,,,,,
27,6022642,"569.43 сая ₮
Жаргалан хотхонд 6 өрөө дуплекс
5 өдрийн өмнө
УБ — Хан-Уул, Нархан хотхон",63.0,28.0,,,,,,,,,,,,,,,,,,,,,,
26,6022659,"200 сая ₮ 277.2 сая ₮
Москва хороололд 3 өрөө байр
5 өдрийн өмнө
УБ — Сонгинохайрхан, Москва хороолол",63.0,27.0,,,,,,,,,,,,,,,,,,,,,,
8,6074084,"171.94 сая ₮
Хангай хотхоны хойно арга билиг хотхонд 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 11",82.0,9.0,,,,,,,,,,,,,,,,,,,,,,
9,6077836,"249.6 сая ₮
Арцат 2 хотхонд 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",82.0,10.0,,,,,,,,,,,,,,,,,,,,,,
10,6077881,"75 сая ₮
16-р хороолол, саруул тэнгэр 2 хотхонд 1 өрөө байр
1 долоо хоногийн өмнө
УБ — Баянзүрх, 16-р хороолол",82.0,11.0,,,,,,,,,,,,,,,,,,,,,,
23,6082048,"1.2 Тэрбум ₮
Зайсанд chariot residence хотхонд 205мкв 4 өрөө
3 өдрийн өмнө
УБ — Хан-Уул, Зайсан",39.0,24.0,,,,,,,,,,,,,,,,,,,,,,
4,6083119,"295 сая ₮
10-р хороололд 160м2 1 давхарын өргөтгөлтэй гал тогоо тусдаа 3 өрөө
3 долоо хоногийн өмнө
УБ — Баянгол, 10-р хороолол",142.0,5.0,,,,,,,,,,,,,,,,,,,,,,
47,6104046,"255 сая ₮
Худ 19 хороо дөл хотхонд 72,86м2 3 өрөө
Өнөөдөр
УБ — Хан-Уул, Хан-Уул, Хороо 15",5.0,48.0,,,,,,,,,,,,,,,,,,,,,,
